item,diodes
quantity ,1(100pcs)
diseigner ,https://tr.aliexpress.com/item/1005003194692663.html?spm=a2g0o.productlist.main.1.2235tXsktXsk4R&algo_pvid=f8a12294-737b-41b1-b327-8e5ae75770d1&algo_exp_id=f8a12294-737b-41b1-b327-8e5ae75770d1-0&pdp_ext_f=%7B%22order%22%3A%22377%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%210.49%210.49%21%21%210.55%210.55%21%402141396c17849817056283149e1bea%2112000024603253281%21sea%21CY%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adbd0eda9%3Bm03_new_user%3A-29895&curPageLogUid=OaGR0aJXbJvn&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003194692663%7C_p_origin_prod%3A
price,1.15
,
,
item,power bank
quantity ,1
diseigner ,https://tr.aliexpress.com/item/1005008381830946.html?spm=a2g0o.cart.0.0.1dbd406aYBywc3&mp=1&pdp_npi=6%40dis%21EUR%21EUR+33.13%21EUR+18.88%21%21EUR+18.88%21%21%21%40210178d717849818899131402e101c%2112000044793425361%21ct%21CY%21-1%21%211%210%21&gatewayAdapt=glo2tur
price,20.6
,
,
item,jumper cable
quantity ,1(40pcs)
diseigner ,https://tr.aliexpress.com/item/1005002349042216.html?spm=a2g0o.cart.0.0.1dbd406aYBywc3&mp=1&pdp_npi=6%40dis%21EUR%21EUR+2.60%21EUR+1.82%21%21EUR+1.82%21%21%21%40210178d717849818899131402e101c%2112000020225751907%21ct%21CY%21-1%21%211%210%21&gatewayAdapt=glo2tur
price,31.82
,
,
item,hdmi cable
quantity ,1
diseigner ,https://tr.aliexpress.com/item/1005008741655638.html?spm=a2g0o.cart.0.0.1dbd406aYBywc3&mp=1&pdp_npi=6%40dis%21EUR%21EUR+0.77%21EUR+0.73%21%21EUR+0.73%21%21%21%40210178d717849818899131402e101c%2112000046478614510%21ct%21CY%21-1%21%211%210%21&gatewayAdapt=glo2tur
price,1.58
,
item,breadboard
quantity ,1
diseigner ,https://tr.aliexpress.com/item/1005007108273878.html?spm=a2g0o.cart.0.0.1dbd406aYBywc3&mp=1&pdp_npi=6%40dis%21EUR%21EUR+10.85%21EUR+5.42%21%21EUR+5.42%21%21%21%40210178d717849818899131402e101c%2112000039430609537%21ct%21CY%21-1%21%211%210%21&gatewayAdapt=glo2tur
price,15.42
,
,
item,capacitors
quantity ,1kit
diseigner ,tr.aliexpress.com/item/1005012392473854.html?spm=a2g0o.cart.0.0.1dbd406aYBywc3&mp=1&pdp_npi=6%40dis!EUR!EUR+37.68!EUR+18.09!!EUR+18.09!!!%40210178d717849818899131402e101c!12000058256079110!ct!CY!-1!!1!0!&gatewayAdapt=glo2tur
price,18.09
,
,
item,resistors
quantity ,1 kit 
diseigner ,https://tr.aliexpress.com/item/1005011772534173.html?spm=a2g0o.cart.0.0.1dbd406aYBywc3&mp=1&pdp_npi=6%40dis%21EUR%21EUR+4.18%21EUR+4.18%21%21EUR+4.18%21%21%21%40210178d717849818899131402e101c%2112000056500803485%21ct%21CY%21-1%21%211%210%21&gatewayAdapt=glo2tur
price,14.18
,
,
item,keys
quantity ,60pcs
diseigner ,https://tr.aliexpress.com/item/1005012309085499.html?spm=a2g0o.cart.0.0.1dbd406aYBywc3&mp=1&pdp_npi=6%40dis%21EUR%21EUR+24.86%21EUR+24.86%21%21EUR+24.86%21%21%21%40210178d717849818899131402e101c%2112000058036987607%21ct%21CY%21-1%21%211%210%21&gatewayAdapt=glo2tur
price,24.86
,
item,gyroscopo
quantity ,1
diseigner ,https://tr.aliexpress.com/item/1005005499172228.html?spm=a2g0o.cart.0.0.1dbd406aYBywc3&mp=1&pdp_npi=6%40dis%21EUR%21EUR+8.99%21EUR+8.99%21%21EUR+8.99%21%21%21%40210178d717849818899131402e101c%2112000050014179039%21ct%21CY%21-1%21%211%210%21&gatewayAdapt=glo2tur
price,18.99
,
,
item,MCP23017-E/SP DIP-28
quantity ,1
